id,message,created_time
877537817898324_656628886655886,,2023-12-05 11:13:38
877537817898324_650077717311003,,2023-11-22 15:01:33
877537817898324_621303596855082,,2023-09-30 05:04:08
877537817898324_376580087994102,,2022-08-29 14:52:41
877537817898324_364835112501933,,2022-08-12 03:17:06
877537817898324_356629833322461,,2022-07-30 14:04:02
877537817898324_353626970289414,,2022-07-26 04:32:26
877537817898324_352268663758578,"#nganhcanhquanvakythuathoavien
#thietkecanhquan",2022-07-24 02:36:44
877537817898324_344462271205884,,2022-07-12 13:54:07
877537817898324_343199407998837,,2022-07-10 16:11:03
877537817898324_340221974963247,,2022-07-06 09:28:07
877537817898324_335578408760937,,2022-06-29 06:38:34
877537817898324_331165952535516,,2022-06-23 02:40:14
877537817898324_326587582993353,#CNTT #DXCVietNam #Agile #Scrum,2022-06-16 08:56:52
877537817898324_301673312151447,"#LifeAtFPTSoftware
_ Cảm ơn về buổi tham quan FSoft. Em là sinh viên năm nhất em không nghĩ mình sẽ được trải nghiệm đi tham quan môi trường làm việc của các anh chị FSoft.

_ Cảm nhận của em về môi trường làm việc rất thoải mái như ngôi nhà của mình vậy có mối trường xanh với nhiều loại cây để thư giản, các phòng với tên các dòng sông, và khu vực miền Tây. Về làm việc, khi đi qua các phòng làm việc của anh, chị em thấy mọi người đều rất tập trung và nhìn mặt rất căng ạ.

_ Các chị hướng dẫn viên rất năng động và dể thương và chỉ em tận tình về các phòng của FSoft, các khi vực thư giản và dù đi rất mệt nhưng các chị vẫn cố găng để nói và 😀.

_ Buổi giao lưu với anh,chị trong FSoft rất hữu ích quan trọng em biết được mình nên chọn và định hướng vào làm việc ở FPT từ sớm và không ngừng trau dào học hỏi.

_ Cảm ơn về buổi tham quan, em rất mong sẽ được làm đồng nghiệp với các anh, chị FSoft",2022-05-10 09:15:05
877537817898324_289525190032926,,2022-04-22 14:08:17
877537817898324_264367339215378,#ITHUTECH #WONDERFUL_iGEN,2022-03-15 06:55:10
877537817898324_261951806123598,,2022-03-11 12:55:37
877537817898324_256628803322565,,2022-03-03 02:55:29
877537817898324_251014440550668,,2022-02-22 12:05:49
877537817898324_250347293950716,Cuốn sách đầu tiên tôi đọc trong tháng 2 sẽ rất thú vị khi đọc tự truyện của tara westover nghe về cuộc đời cô ấy,2022-02-21 11:56:58
877537817898324_249840684001377,,2022-02-20 15:28:08
877537817898324_248082400843872,:)),2022-02-18 00:18:03
877537817898324_241447891507323,,2022-02-07 15:00:54
877537817898324_238607231791389,,2022-02-03 00:29:38
